Id,SalePrice
2658,98319624.46246026
2718,113459947.71880986
2414,130874489.05918229
1989,81829927.68296236
625,97996279.75635144
333,44596802.342425875
1327,83983100.99603955
858,93750094.32651748
95,64910152.06745942
1568,98179772.8261661
2482,81621145.45999466
1364,76925753.7569627
2584,106821236.41491976
818,107324698.21737711
2673,110269997.31668578
2089,87237829.89772925
1297,99377108.31199984
790,90144101.93770733
2616,111937462.31765488
720,139453876.97775787
222,83482074.86525297
557,79347661.35529141
1148,96664975.84823218
2766,149554570.3757791
534,94393512.86666021
1452,72553252.05304742
630,113874649.0135754
2648,94055489.91193283
125,85114385.2588973
1904,41930215.86272187
1670,73187898.32436459
756,71658267.85900152
717,125231503.33466421
1032,95146229.46359643
852,109419395.55758001
1731,109496183.20097893
2639,77867994.43166529
2071,79960132.52960722
1267,78237139.25088514
1851,85930383.82322723
567,58206101.326291025
2439,108929869.84160075
1898,83918666.09406807
647,121651194.99373712
2256,72611592.4355936
979,44399283.23208859
1444,107464404.632547
2485,77561553.1167785
157,67600743.61721793
88,78593942.72226639
2003,89947424.7142167
186,100438609.39171119
1425,103151089.03502426
2695,78677046.30292104
738,67627881.0451663
395,80871481.23926081
1353,98223099.14136906
1878,95285657.75575711
390,100953143.93488231
1456,104542228.23470634
1103,124996000.35378328
1387,109754183.02062279
2070,115100028.62598366
1199,115601375.86849032
2479,82032850.95763598
501,122613508.33626868
2362,73847485.9345808
1718,66878383.25376451
2188,50270629.48841075
1483,58057033.63278198
2557,61482324.48095175
437,187120631.5065392
2224,185938881.565495
1628,97033562.52527627
397,84109460.66467984
587,149650851.45475867
971,161848986.68240863
2611,92908355.40009105
1887,74276410.83482362
2399,135833091.50492597
2148,96033834.11963977
304,83761715.93776573
1997,58684760.73923449
2817,87091852.50299107
1431,110620093.50406985
427,131463729.43691446
263,74400923.71576993
598,132070090.72595224
2895,143232699.3403951
687,87123762.5840945
1822,78887817.08194453
2191,100728218.29333068
179,75861802.8657196
1009,68910361.00068328
2010,71019036.75431255
1991,96815827.41315906
1411,101215098.3693555
1721,76888014.91162415
1144,90317275.04139622
593,89731778.0814334
575,132826360.03318526
1249,128514826.25262322
1604,72660446.2179032
1064,142757939.47586355
1923,107064565.63936973
1988,50943822.191515766
2325,82338040.9843018
114,152042035.50445348
2700,119881992.9085488
217,112318781.19673571
343,102724367.19262181
386,90799522.95061187
2005,102247712.27705361
2908,128428727.73589508
1814,135513696.54087844
2446,271491586.0330715
208,86217111.28894585
1679,49163665.18152389
822,113493062.06968358
6,98334231.90033673
1781,127416244.15644059
2397,111233889.74531065
2340,99449875.92589799
1618,115154689.67500925
2843,86517658.98755823
1061,125482492.77069128
2786,84889718.50216646
1935,85106357.93635918
1341,65081354.526186176
521,117948671.80584505
2136,84281901.67841783
996,94138841.95388792
227,100277787.45682152
135,100766496.98595265
1167,55588553.54331817
294,113016379.43325785
1776,99811945.08537242
540,109742699.74886478
1717,66867994.985059746
2303,94459802.87122321
116,95844217.96273512
127,91717430.11381601
1371,95659145.32443865
1014,213606835.65014085
1507,73195609.40348265
702,91009008.51579624
750,91707261.06654076
261,97300578.15878536
1559,77545552.9286163
577,137656171.82260635
2812,107928304.52046165
2080,101816824.4701469
1368,66844035.420917556
2376,76629264.47382347
659,79827223.1546713
1235,79444252.4126888
332,41236934.1458849
1917,82473755.38293442
2094,123299286.1143127
1460,105261621.87465777
1471,119491040.33359846
1509,99792289.00986867
1922,88358230.467821
433,152444477.0738942
460,84194490.99726312
1116,106297075.38260476
1137,112948360.07037607
53,59280430.92399041
2354,106370447.93776886
1475,100890879.2597331
1761,184800088.12346768
842,80524376.36066194
2739,115466230.96447073
2509,50249440.75299861
1007,106694799.39055151
2610,99810928.31789184
1952,58547118.91907803
2719,105592726.00574888
2921,44604371.51536767
1966,85800029.17169647
292,94311742.02047372
1204,103539597.84413786
1829,151103758.7928205
2419,89999244.6139027
391,98772399.80161369
798,84990973.28564176
481,90024059.05332923
193,95381863.69023758
555,89399249.22721528
899,85158478.94905339
2357,98813481.09923673
328,49722787.7963596
1356,87946387.99349375
1154,68203482.67987666
1730,96420796.54865155
2249,75551115.40324964
1119,99702989.50344555
2856,97680738.63987188
1394,116486287.68934682
2587,77882241.94772512
61,157420282.43382183
2661,89080319.12632853
2711,90695168.26660067
1147,95151965.7171998
757,69995734.15483965
2623,71472280.2986797
2378,54789748.9831127
1413,86709244.43147685
1722,81835388.10052937
1112,126649122.0724521
1623,93027527.2746329
1201,97503551.4360796
1513,68561678.8730666
957,1184102980.8777573
1171,74435711.9325878
1145,90409068.67739294
2726,166258576.97095516
703,57910263.59564749
760,58945281.98189846
1964,78572979.94972116
2512,61268217.95177484
159,76433435.69157898
1281,85191377.92582983
468,105053776.37731282
290,75814054.5070167
665,89972097.03110348
1463,117046058.41301809
1792,102344171.91557589
923,121785803.87924422
500,113841214.37970144
1408,150153042.3461127
331,33942146.662481435
170,74377111.73588662
2192,75111572.68581359
2571,204245668.9786091
2314,110008768.73916763
2647,63664939.077328116
422,146849995.58062685
2457,175277304.52466333
1838,69877423.25070798
2805,133840042.87726815
1645,102927249.58168752
1711,122932429.65755
2825,116599908.8958538
322,133437013.54710878
2103,108645875.48021169
342,103164521.94778712
600,74573944.72702496
488,92246819.9260456
1725,101702876.46213187
2246,83496161.26091936
2847,91315385.34239678
806,105788131.96142755
530,101960982.3427922
963,108676024.09800816
2678,69334408.62656336
171,79119082.02568711
2401,179000004.04567716
805,106940292.56359656
2259,165844285.65629858
1748,96951456.18246
1361,96753650.09172633
1677,47838647.3002279
1406,95264971.14238521
2322,172688451.97775108
688,88065002.95348759
143,90184203.77819411
804,96795802.62746505
1214,94092262.66778582
2828,57079660.59811825
1999,96488681.89552134
2467,86663452.42761326
2665,84445082.17599456
1538,150603305.62921542
398,71814069.1962988
2822,126923698.69468842
